epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,139.141,0.69709,0.67598,1.13585,0.90347,0.76725,0.89222,0.70447,0.797,0.72642,1.22448,0.000462281,0.000462281,0.000462281
43,142.784,0.64385,0.59418,1.0982,0.78567,0.77291,0.86809,0.7005,0.75489,0.8247,1.18028,0.000438703,0.000438703,0.000438703
44,146.068,0.70269,0.68894,1.15264,0.80993,0.8818,0.90227,0.68404,0.77249,0.66139,1.23867,0.000415124,0.000415124,0.000415124
45,149.231,0.68237,0.64815,1.14753,0.87985,0.84581,0.91221,0.65921,0.83812,0.67385,1.2812,0.000391546,0.000391546,0.000391546
46,152.263,0.69026,0.60186,1.14591,0.8982,0.81558,0.91458,0.6766,0.80698,0.63563,1.218,0.000367967,0.000367967,0.000367967
47,155.916,0.67202,0.58881,1.12649,0.77967,0.82593,0.88957,0.67494,0.77103,0.62877,1.20542,0.000344389,0.000344389,0.000344389
48,159.144,0.66882,0.61782,1.11273,0.88798,0.70954,0.88133,0.67359,0.77298,0.74689,1.2202,0.00032081,0.00032081,0.00032081
49,162.242,0.63985,0.55816,1.11085,0.76655,0.76174,0.83753,0.6613,0.75366,0.86864,1.1848,0.000297232,0.000297232,0.000297232
50,165.258,0.63185,0.55733,1.09723,0.89845,0.63754,0.83573,0.66271,0.69503,0.85001,1.15814,0.000273654,0.000273654,0.000273654
51,170.879,0.53845,0.52318,1.02772,0.73569,0.73629,0.82395,0.6529,0.7361,0.82408,1.17909,0.000250075,0.000250075,0.000250075
52,173.866,0.45641,0.41689,0.98055,0.90369,0.67791,0.83425,0.58485,1.03735,0.82397,1.42963,0.000226497,0.000226497,0.000226497
53,176.837,0.48305,0.43012,1.01074,0.9025,0.70169,0.86137,0.64954,0.91179,0.77105,1.35728,0.000202918,0.000202918,0.000202918
54,179.98,0.46122,0.39256,0.982,0.83913,0.78609,0.91022,0.67116,0.79261,0.7447,1.25536,0.00017934,0.00017934,0.00017934
55,183.504,0.46006,0.38649,0.99011,0.82859,0.77461,0.9267,0.70254,0.73137,0.75096,1.18615,0.000155761,0.000155761,0.000155761
56,186.475,0.44898,0.39186,0.97126,0.74058,0.86515,0.91543,0.69857,0.73321,0.66694,1.18259,0.000132183,0.000132183,0.000132183
57,189.468,0.43825,0.36569,0.96825,0.76985,0.93543,0.9325,0.71882,0.71553,0.57198,1.18759,0.000108604,0.000108604,0.000108604
58,192.675,0.42707,0.3413,0.93953,0.84623,0.86139,0.94304,0.74912,0.70412,0.51562,1.18645,8.50255e-05,8.50255e-05,8.50255e-05
59,196.324,0.42901,0.3601,0.96495,0.89342,0.88768,0.96674,0.7522,0.70537,0.50511,1.19131,6.1447e-05,6.1447e-05,6.1447e-05
60,199.372,0.42389,0.32613,0.95409,0.89241,0.86806,0.94087,0.75311,0.70449,0.49452,1.19186,3.78685e-05,3.78685e-05,3.78685e-05
